tool	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 
run set	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17
/sv-benchmarks/c/	status	cputime (s)	walltime (s)	memUsage	wit1_status	wit1_cputime (s)	wit1_walltime (s)	wit1_memUsage	wit2_status	wit2_cputime (s)	wit2_walltime (s)	wit2_memUsage
heap-manipulation/bubble_sort_linux_false-unreach-call_false-valid-memcleanup.i	unknown	4.977962085	6.133708495995961	222367744	ERROR (invalid witness file)	3.728180323	3.7430093869916163	97447936				
heap-manipulation/dll_of_dll_false-unreach-call_false-valid-memcleanup.i	unknown	6.941438247	7.658280144998571	303964160	ERROR (invalid witness file)	3.477630022	3.5007154809864005	97550336				
heap-manipulation/merge_sort_false-unreach-call_false-valid-memcleanup.i	unknown	4.674670426	5.413963667000644	145489920	ERROR (invalid witness file)	3.552290057	3.5746634009992704	101355520				
heap-manipulation/sll_to_dll_rev_false-unreach-call_false-valid-memcleanup.i	unknown	5.014821735	5.722546311997576	169070592	ERROR (invalid witness file)	3.473611025	3.501061981995008	95940608				
heap-manipulation/tree_false-unreach-call_false-valid-deref.i	unknown	5.116400925	5.82329136399494	153358336	ERROR (invalid witness file)	3.252468239	3.2677437370002735	94060544				
heap-manipulation/tree_false-unreach-call_false-valid-memcleanup.i	unknown	4.783747773	5.493663361005019	151728128	ERROR (invalid witness file)	3.557751893	3.5803085990046384	98750464				
heap-manipulation/bubble_sort_linux_true-unreach-call_true-valid-memsafety.i	unknown	4.98132994	5.686402545994497	162467840					ERROR (invalid witness file)	3.676154321	3.7013026280037593	100634624
heap-manipulation/dancing_true-unreach-call_false-valid-memtrack.i	unknown	6.58573085	7.359032348002074	196177920					ERROR (invalid witness file)	3.310647846	3.342628179001622	95145984
heap-manipulation/dll_of_dll_true-unreach-call_true-valid-memsafety.i	unknown	6.665697624	7.357518891003565	307326976					ERROR (invalid witness file)	3.543408838	3.5647208530135686	96342016
heap-manipulation/merge_sort_true-unreach-call_true-valid-memsafety.i	unknown	4.59304254	5.303840617998503	146018304					ERROR (invalid witness file)	3.541124459	3.562646044010762	96636928
heap-manipulation/sll_to_dll_rev_true-unreach-call_true-valid-memsafety.i	unknown	5.152167643	5.873790293990169	171507712					ERROR (invalid witness file)	3.446381858	3.475615992996609	92188672
heap-manipulation/tree_true-unreach-call.i	unknown	4.79752026	5.511581921004108	154628096					ERROR (invalid witness file)	3.400349671	3.4239363209926523	96215040
list-properties/alternating_list_false-unreach-call_false-valid-memcleanup.i	unknown	6.421750989	7.333763054994051	191438848	ERROR (invalid witness file)	3.34678778	3.3639725919929333	94519296				
