tool	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 
run set	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17
/sv-benchmarks/c/product-lines/	status	cputime (s)	walltime (s)	memUsage	wit1_status	wit1_cputime (s)	wit1_walltime (s)	wit1_memUsage	wit2_status	wit2_cputime (s)	wit2_walltime (s)	wit2_memUsage
elevator_spec14_product20_false-unreach-call_true-termination.cil.c	TIMEOUT	60.406074777	61.00758621399291	1638793216	ERROR (invalid witness file)	0.651657892	0.6827713089878671	35299328				
elevator_spec14_product24_false-unreach-call_true-termination.cil.c	TIMEOUT	60.412423261	61.01792620700144	1670807552	ERROR (invalid witness file)	0.655915988	0.6649293009977555	30457856				
elevator_spec14_product28_false-unreach-call_true-termination.cil.c	TIMEOUT	60.363474724	61.01433554299001	1645309952	ERROR (invalid witness file)	0.673365566	0.6837488860037411	30863360				
elevator_spec14_product32_false-unreach-call_true-termination.cil.c	TIMEOUT	60.380493683	61.01063001899456	1608835072	ERROR (invalid witness file)	0.628184016	0.6369408469909104	29552640				
elevator_spec14_productSimulator_false-unreach-call_true-termination.cil.c	TIMEOUT	60.443247484	61.01412728500145	1603284992	ERROR (invalid witness file)	0.612237963	0.621664492005948	29700096				
elevator_spec1_product18_false-unreach-call_true-termination.cil.c	TIMEOUT	60.415435909	61.01927869200881	1648046080	ERROR (invalid witness file)	0.62091609	0.6346059289935511	29540352				
elevator_spec1_product20_false-unreach-call_true-termination.cil.c	TIMEOUT	60.376707814	61.01265001700085	1624674304	ERROR (invalid witness file)	0.647224321	0.6562008260079892	31490048				
elevator_spec1_product22_false-unreach-call_true-termination.cil.c	TIMEOUT	60.379528822	61.01854430801177	1600032768	ERROR (invalid witness file)	0.619021044	0.629513264997513	29663232				
elevator_spec1_product24_false-unreach-call_true-termination.cil.c	TIMEOUT	60.4605387	61.01302046899218	1669152768	ERROR (invalid witness file)	0.67192945	0.68023745600658	30568448				
elevator_spec1_product26_false-unreach-call_true-termination.cil.c	TIMEOUT	60.367603591	61.01751698399312	1626804224	ERROR (invalid witness file)	0.62844436	0.6378373829938937	30208000				
elevator_spec1_product28_false-unreach-call_true-termination.cil.c	TIMEOUT	60.45975554	61.01113543398969	1671581696	ERROR (invalid witness file)	0.640383706	0.6498153180000372	30523392				
elevator_spec1_product30_false-unreach-call_true-termination.cil.c	TIMEOUT	60.442856625	61.01665467800922	1661911040	ERROR (invalid witness file)	0.672494593	0.6873065319960006	30728192				
elevator_spec1_product32_false-unreach-call_true-termination.cil.c	TIMEOUT	60.371695902	61.018152453005314	1626365952	ERROR (invalid witness file)	0.618663983	0.6347201649914496	29327360				
elevator_spec1_productSimulator_false-unreach-call_true-termination.cil.c	TIMEOUT	60.415815387	61.01348055200651	1612988416	ERROR (invalid witness file)	0.618371926	0.6306816060096025	29171712				
elevator_spec2_product18_false-unreach-call_true-termination.cil.c	TIMEOUT	60.376968993	61.00919453499955	1611780096	ERROR (invalid witness file)	0.62279712	0.635333959988202	29601792				
elevator_spec2_product20_false-unreach-call_true-termination.cil.c	TIMEOUT	60.441707679	61.015605454012984	1584128000	ERROR (invalid witness file)	0.626159481	0.6381444300059229	29634560				
elevator_spec2_product22_false-unreach-call_true-termination.cil.c	TIMEOUT	60.428604771	61.00994447100675	1604657152	ERROR (invalid witness file)	0.648959226	0.6590813689981587	32387072				
elevator_spec2_product24_false-unreach-call_true-termination.cil.c	TIMEOUT	60.413464499	61.01397216699843	1617383424	ERROR (invalid witness file)	0.623204858	0.6402134529926116	30937088				
elevator_spec2_product26_false-unreach-call_true-termination.cil.c	TIMEOUT	60.411093319	61.02115549999871	1716633600	ERROR (invalid witness file)	0.667266002	0.6772371040133294	30945280				
elevator_spec2_product28_false-unreach-call_true-termination.cil.c	TIMEOUT	60.365995192	61.01630039200245	1642004480	ERROR (invalid witness file)	0.610920922	0.6277297990018269	29130752				
elevator_spec2_product30_false-unreach-call_true-termination.cil.c	TIMEOUT	60.435845485	61.00801523499831	1637777408	ERROR (invalid witness file)	0.6490249	0.6581561320053879	30367744				
elevator_spec2_product32_false-unreach-call_true-termination.cil.c	TIMEOUT	60.398695204	61.01406713700271	1615708160	ERROR (invalid witness file)	0.654235421	0.664586042999872	30101504				
elevator_spec2_productSimulator_false-unreach-call_true-termination.cil.c	TIMEOUT	60.386915473	61.018699107997236	1683292160	ERROR (invalid witness file)	0.647137792	0.6612059270119062	30388224				
elevator_spec3_product03_false-unreach-call_true-termination.cil.c	TIMEOUT	60.402494013	61.01720313100668	1652170752	ERROR (invalid witness file)	0.627141131	0.6387213670095662	30236672				
elevator_spec3_product11_false-unreach-call_true-termination.cil.c	TIMEOUT	60.413429021	61.01024464199145	1617190912	ERROR (invalid witness file)	0.654960218	0.6714549489988713	30511104				
elevator_spec3_product19_false-unreach-call_true-termination.cil.c	TIMEOUT	60.492940586	61.01205006300006	1643806720	ERROR (invalid witness file)	0.647451084	0.657935285998974	30920704				
elevator_spec3_product20_false-unreach-call_true-termination.cil.c	TIMEOUT	60.401535249	61.011575448996155	1614610432	ERROR (invalid witness file)	0.620357316	0.6352125000121305	30109696				
elevator_spec3_product23_false-unreach-call_true-termination.cil.c	TIMEOUT	60.430285254	61.01141123799607	1689518080	ERROR (invalid witness file)	0.644285814	0.656124967004871	30285824				
elevator_spec3_product24_false-unreach-call_true-termination.cil.c	TIMEOUT	60.385334348	61.019063125990215	1602715648	ERROR (invalid witness file)	0.655615151	0.67002848800621	30953472				
elevator_spec3_product27_false-unreach-call_true-termination.cil.c	TIMEOUT	60.37725621	61.02257534099044	1624559616	ERROR (invalid witness file)	0.643826112	0.6597789720108267	30662656				
elevator_spec3_product28_false-unreach-call_true-termination.cil.c	TIMEOUT	60.415154996	61.009562999999616	1628913664	ERROR (invalid witness file)	0.638017694	0.6489361380081391	30052352				
