tool	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 
run set	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17
/sv-benchmarks/c/	status	cputime (s)	walltime (s)	memUsage	wit1_status	wit1_cputime (s)	wit1_walltime (s)	wit1_memUsage	wit2_status	wit2_cputime (s)	wit2_walltime (s)	wit2_memUsage
recursive/Ackermann02_false-unreach-call_true-no-overflow_true-termination.c	unknown	4.137008027	5.39064749298268	185176064	ERROR (invalid witness file)	2.246722367	2.261028801993234	66240512				
recursive/Addition02_false-unreach-call_true-no-overflow_true-termination.c	false(unreach-call)	6.844628944	8.111426838993793	195272704	false(unreach-call)	4.173461319	4.326837253000122	126939136				
recursive/BallRajamani-SPIN2000-Fig1_false-unreach-call_true-no-overflow_true-termination.c	false(unreach-call)	8.348624624	10.187856755015673	177672192	true	3.492502103	3.553560494998237	93130752				
recursive/EvenOdd03_false-unreach-call_true-no-overflow_true-termination.c	false(unreach-call)	6.176535002	7.067593331012176	165617664	false(unreach-call)	3.632990439	3.7577423229813576	115515392				
recursive/Fibonacci04_false-unreach-call_true-no-overflow_true-termination.c	unknown	4.031001737	4.796800189011265	122732544	ERROR (invalid witness file)	2.172764178	2.1911576770071406	70881280				
recursive/Fibonacci05_false-unreach-call_true-no-overflow_true-termination.c	unknown	3.993104307	4.736966391996248	122753024	ERROR (invalid witness file)	2.228319681	2.245677783008432	71057408				
recursive/McCarthy91_false-unreach-call_true-no-overflow_true-termination.c	unknown	4.066264752	4.818476127984468	122728448	ERROR (invalid witness file)	2.191613452	2.211065948009491	70606848				
recursive/Ackermann01_true-unreach-call_true-no-overflow.c	unknown	4.092096193	4.828177155985031	123531264					ERROR (invalid witness file)	2.222419867	2.2375970899884123	69992448
recursive/Ackermann03_true-unreach-call_true-no-overflow.c	unknown	4.606466396	5.328726143983658	124944384					ERROR (invalid witness file)	2.219183789	2.2425424940011	69992448
recursive/Ackermann04_true-unreach-call_true-no-overflow.c	unknown	4.304931702	5.050986777001526	123863040					ERROR (invalid witness file)	2.164161857	2.184486262005521	68083712
recursive/Addition01_true-unreach-call_true-no-overflow_true-termination.c	true	8.581873787	10.423547042999417	181555200					ERROR (recursion)	3.058173854	3.1135830510174856	87302144
recursive/Addition03_true-unreach-call_true-no-overflow_true-termination.c	TIMEOUT	52.92320773	91.0099442669889	257327104					ERROR (invalid witness file)	0.640617796	0.6510664170200471	29982720
recursive/EvenOdd01_true-unreach-call_true-no-overflow_true-termination.c	TIMEOUT	50.076065167	91.01036989700515	256409600					ERROR (invalid witness file)	0.67576897	0.685366112011252	30142464
