tool	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 
run set	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17
/sv-benchmarks/c/	status	cputime (s)	walltime (s)	memUsage	wit1_cputime (s)	wit1_memUsage	wit1_status	wit1_walltime (s)	wit2_cputime (s)	wit2_memUsage	wit2_status	wit2_walltime (s)
floats-cdfpl/newton_1_4_false-unreach-call.i	false(unreach-call)	6.826698151	8.028132156992797	171761664	69.885549982	389373952	false(unreach-call)	70.01455680999788				
floats-cdfpl/newton_1_5_false-unreach-call.i	false(unreach-call)	6.546161497	7.487892578996252	183193600	69.548047856	330579968	false(unreach-call)	69.66354253797908				
floats-cdfpl/newton_1_6_false-unreach-call.i	false(unreach-call)	6.701559448	7.779365014983341	185065472	17.831718582	308215808	false(unreach-call)	17.92566630098736				
floats-cdfpl/newton_1_7_false-unreach-call.i	false(unreach-call)	6.716007298	7.731960325007094	181764096	78.926296058	1999998976	OUT OF MEMORY	79.40354643401224				
floats-cdfpl/newton_1_8_false-unreach-call.i	false(unreach-call)	6.683486823	7.707604332012124	187707392	22.0900009	360751104	false(unreach-call)	22.469301522010937				
floats-cdfpl/newton_2_6_false-unreach-call.i	false(unreach-call)	13.390549236	14.363554659998044	195354624	77.101055908	1999998976	OUT OF MEMORY	77.22969416799606				
floats-cdfpl/newton_2_7_false-unreach-call.i	false(unreach-call)	11.994385149	13.139992033015005	193662976	91.328648471	1649516544	TIMEOUT	91.6703551360115				
floats-cdfpl/newton_2_8_false-unreach-call.i	false(unreach-call)	12.377932523	13.604046817985363	196083712	55.944446255	1060990976	false(unreach-call)	56.045307000982575				
floats-cdfpl/newton_3_6_false-unreach-call.i	unknown	17.064396185	18.150668660993688	206016512	2.349100187	70467584	ERROR (invalid witness file)	2.3692544620134868				
floats-cdfpl/newton_3_7_false-unreach-call.i	unknown	17.076752726	18.152338440995663	204197888	2.42902623	66662400	ERROR (invalid witness file)	2.4403125130047556				
floats-cdfpl/newton_3_8_false-unreach-call.i	unknown	17.308015489	18.38562268699752	196321280	2.331742563	70934528	ERROR (invalid witness file)	2.3439346920058597				
floats-cdfpl/sine_1_false-unreach-call.i	unknown	5.920347356	6.673416444013128	175243264	2.310424396	71671808	ERROR (invalid witness file)	2.3233422829944175				
floats-cdfpl/sine_2_false-unreach-call.i	false(unreach-call)	6.310144994	7.2364650949893985	171929600	73.574573041	2000011264	OUT OF MEMORY	74.1645840429992				
floats-cdfpl/sine_3_false-unreach-call.i	false(unreach-call)	6.498903953	7.399343600991415	172855296	85.492911958	2000003072	OUT OF MEMORY	86.65469520000624				
floats-cdfpl/square_1_false-unreach-call.i	false(unreach-call)	6.55312829	7.434803126001498	181309440	67.409089701	359088128	false(unreach-call)	67.74083971200162				
floats-cdfpl/square_2_false-unreach-call.i	false(unreach-call)	6.609076381	7.530095348978648	170979328	32.122076627	297869312	false(unreach-call)	32.174219513020944				
floats-cdfpl/square_3_false-unreach-call.i	false(unreach-call)	6.53028431	7.475032565998845	171732992	50.228405886	963805184	false(unreach-call)	50.31578213701141				
floats-cdfpl/newton_1_1_true-unreach-call.i	true	7.562831331	8.557072329014773	179982336					901.374010772	491417600	TIMEOUT	901.5774627369829
floats-cdfpl/newton_1_2_true-unreach-call.i	true	7.680362932	8.722693780990085	187236352					901.406964986	370651136	TIMEOUT	901.606720892014
floats-cdfpl/newton_1_3_true-unreach-call.i	true	7.627133195	8.670510386989918	185962496					901.52967445	497774592	TIMEOUT	901.8947506630211
floats-cdfpl/newton_2_1_true-unreach-call.i	true	11.404211008	12.476999008998973	202035200					901.507858895	351539200	TIMEOUT	901.7068760310067
floats-cdfpl/newton_2_2_true-unreach-call.i	true	9.806369562	10.759142669994617	200802304					901.434931831	390492160	TIMEOUT	901.6300099939981
floats-cdfpl/newton_2_3_true-unreach-call.i	true	11.32173478	12.407258238003124	193363968					901.506418315	316133376	TIMEOUT	901.7092013669899
floats-cdfpl/newton_2_4_true-unreach-call.i	unknown	16.809337831	17.86839927599067	239263744					901.41875836	359288832	TIMEOUT	901.6196702140151
floats-cdfpl/newton_2_5_true-unreach-call.i	unknown	16.817313415	17.769367503991816	232325120					901.464859207	521740288	TIMEOUT	901.6618092900026
floats-cdfpl/newton_3_1_true-unreach-call.i	unknown	16.985414482	18.00030475697713	219258880					901.60001443	689680384	TIMEOUT	901.7967227400222
floats-cdfpl/newton_3_2_true-unreach-call.i	unknown	17.177995772	18.140809875010746	223379456					901.587548276	385810432	TIMEOUT	901.7997357849963
floats-cdfpl/newton_3_3_true-unreach-call.i	unknown	17.007300973	18.019483729003696	215568384					901.523675198	500633600	TIMEOUT	901.7249470390088
floats-cdfpl/newton_3_4_true-unreach-call.i	unknown	17.125078297	18.130907101003686	227262464					901.537273363	389730304	TIMEOUT	901.7469544750056
floats-cdfpl/newton_3_5_true-unreach-call.i	unknown	17.152144675	18.15005621901946	220880896					901.545994138	600952832	TIMEOUT	901.750168433995
floats-cdfpl/sine_4_true-unreach-call.i	true	6.835102901	7.754813969018869	180891648					901.306009248	389890048	TIMEOUT	901.5119897100085
floats-cdfpl/sine_5_true-unreach-call.i	true	6.502206591	7.488438408006914	184754176					901.313060019	313266176	TIMEOUT	901.5122554580157
floats-cdfpl/sine_6_true-unreach-call.i	true	6.721662793	7.658720807987265	166100992					901.370577249	449146880	TIMEOUT	901.5780746160017
floats-cdfpl/sine_7_true-unreach-call.i	true	6.558089867	7.6041487980110105	175562752					901.341680594	524222464	TIMEOUT	901.5502586729999
floats-cdfpl/sine_8_true-unreach-call.i	true	6.368623548	7.351789029984502	177991680					901.309693908	467361792	TIMEOUT	901.5217249559937
floats-cdfpl/square_4_true-unreach-call.i	true	6.556300632	7.487523821007926	172736512					901.32002288	405331968	TIMEOUT	901.5243347009819
floats-cdfpl/square_5_true-unreach-call.i	true	6.656887896	7.726776515017264	170283008					901.321889658	347922432	TIMEOUT	901.5163636200014
floats-cdfpl/square_6_true-unreach-call.i	true	6.874842502	7.719279050012119	172814336					841.666431842	434622464	true	841.8508866390039
floats-cdfpl/square_7_true-unreach-call.i	true	6.724669105	7.7010560290073045	169824256					342.872110905	332922880	true	342.97567778098164
