tool	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 
run set	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18
/sv-benchmarks/c/	status	cputime (s)	walltime (s)	memUsage	wit1_cputime (s)	wit1_memUsage	wit1_status	wit1_walltime (s)	wit2_cputime (s)	wit2_memUsage	wit2_status	wit2_walltime (s)
array-examples/data_structures_set_multi_proc_false-unreach-call_ground.i	false(unreach-call)	6.514454766	7.576694351009792	184569856	0.712237231	18350080	false(unreach-call)	0.7377074810210615				
array-examples/sorting_bubblesort_false-unreach-call2_ground.i	TIMEOUT	48.512061581	91.00900624698261	248102912	0.004154553	516096	ERROR (invalid witness file)	0.009745217015733942				
array-examples/sorting_bubblesort_false-unreach-call_ground.i	TIMEOUT	48.735692847	91.00811493501533	246624256	0.003793476	516096	ERROR (invalid witness file)	0.0076251499995123595				
array-examples/sorting_selectionsort_false-unreach-call2_ground.i	TIMEOUT	53.844666121	91.01710720398114	273973248	0.002981713	516096	ERROR (invalid witness file)	0.009203938010614365				
array-examples/sorting_selectionsort_false-unreach-call_ground.i	TIMEOUT	56.515019724	91.01012631400954	289873920	0.003064595	512000	ERROR (invalid witness file)	0.007578303979244083				
array-examples/standard_allDiff2_false-unreach-call_ground.i	false(unreach-call)	6.296548204	7.323939549009083	173805568	12.61932457	18382848	false(unreach-call)	12.649249600013718				
array-examples/standard_copy1_false-unreach-call_ground.i	TIMEOUT	57.427878671	91.01189095398877	268111872	0.004273719	516096	ERROR (invalid witness file)	0.007464834023267031				
array-examples/standard_copy2_false-unreach-call_ground.i	unknown	6.536553656	7.323027397011174	184430592	0.549919858	18284544	ERROR (1)	0.6192785789899062				
array-examples/standard_copy3_false-unreach-call_ground.i	unknown	6.471458251	7.276777930994285	183132160	0.589542514	18288640	ERROR (1)	0.6585252430231776				
array-examples/standard_copy4_false-unreach-call_ground.i	unknown	6.316408446	7.13061644899426	184430592	0.561585449	18378752	ERROR (1)	0.6436449179891497				
array-examples/standard_copy5_false-unreach-call_ground.i	unknown	6.309777373	7.121283971006051	180604928	0.550771219	18436096	ERROR (1)	0.6372621420014184				
array-examples/standard_copy6_false-unreach-call_ground.i	unknown	6.61275934	7.417984603991499	182984704	0.54769807	18395136	ERROR (1)	0.6297141030081548				
array-examples/standard_copy7_false-unreach-call_ground.i	unknown	6.378263304	7.154830829997081	183361536	0.570637421	18341888	ERROR (1)	0.6502703150035813				
array-examples/standard_copy8_false-unreach-call_ground.i	unknown	6.34849709	7.136558622005396	181407744	0.563477273	18329600	ERROR (1)	0.6600144339899998				
array-examples/standard_copy9_false-unreach-call_ground.i	unknown	6.341856564	7.122310192004079	183230464	0.547450912	18386944	ERROR (1)	0.6328141459962353				
array-examples/standard_copyInitSum2_false-unreach-call_ground.i	unknown	6.50607137	7.243849060992943	182833152	0.612833869	18378752	false(unreach-call)	0.6334492180030793				
array-examples/standard_init1_false-unreach-call_ground.i	TIMEOUT	50.481266772	91.01486253499752	249339904	0.003122647	516096	ERROR (invalid witness file)	0.007876660994952545				
array-examples/standard_init2_false-unreach-call_ground.i	TIMEOUT	48.769647941	91.00969754098332	258134016	0.004049556	516096	ERROR (invalid witness file)	0.0077724809816572815				
array-examples/standard_init3_false-unreach-call_ground.i	unknown	44.44289485	77.51576668099733	235520000	0.604140682	18419712	false(unreach-call)	0.6199019629857503				
array-examples/standard_init4_false-unreach-call_ground.i	unknown	45.777649128	88.67581046198029	240549888	0.607751846	18333696	false(unreach-call)	0.6205305420153309				
array-examples/standard_init5_false-unreach-call_ground.i	TIMEOUT	44.477628854	90.8130429169978	244293632	0.003085391	647168	ERROR (invalid witness file)	0.007665604003705084				
array-examples/standard_init6_false-unreach-call_ground.i	TIMEOUT	43.917807718	91.01255911801127	238125056	0.00338089	516096	ERROR (invalid witness file)	0.008386176981730387				
array-examples/standard_init7_false-unreach-call_ground.i	TIMEOUT	44.059291031	90.3704316529911	240021504	0.004297251	516096	ERROR (invalid witness file)	0.00831156299682334				
array-examples/standard_init8_false-unreach-call_ground.i	TIMEOUT	43.99585512	90.10231432202272	240566272	0.00317465	516096	ERROR (invalid witness file)	0.007760295004118234				
array-examples/standard_init9_false-unreach-call_ground.i	TIMEOUT	47.298937104	91.01536055500037	244293632	0.002979826	516096	ERROR (invalid witness file)	0.007929700979730114				
array-examples/standard_minInArray_false-unreach-call_ground.i	TIMEOUT	51.835027441	91.00902898199274	267988992	0.003835032	647168	ERROR (invalid witness file)	0.007455045997630805				
array-examples/standard_partition_false-unreach-call_ground.i	TIMEOUT	45.924059284	91.00834574300097	239108096	0.003072634	647168	ERROR (invalid witness file)	0.008308566000778228				
array-examples/standard_running_false-unreach-call.i	TIMEOUT	54.634512703	91.01296434400138	259727360	0.003195187	516096	ERROR (invalid witness file)	0.00784949300577864				
array-examples/data_structures_set_multi_proc_trivial_true-unreach-call_ground_true-termination.i	true	4.711580302	5.412851841014344	133955584					3.722773657	143499264	ERROR	2.5687666430021636
array-examples/data_structures_set_multi_proc_true-unreach-call_ground.i	TIMEOUT	44.592508366	90.20033922800212	259362816					0.658539869	30527488	ERROR (invalid witness file)	0.505601521988865
array-examples/relax_true-unreach-call.i	unknown	8.824746888	10.080503439006861	208027648					673.44952778	3531735040	TIMEOUT	991.8662157040089
array-examples/sanfoundry_02_true-unreach-call_ground.i	TIMEOUT	46.780524354	91.0425854040077	265498624					0.731483653	64278528	ERROR (invalid witness file)	1.0480358459753916
array-examples/sanfoundry_10_true-unreach-call_ground.i	TIMEOUT	50.919396579	91.00945881899679	275693568					0.677030304	31383552	ERROR (invalid witness file)	0.5397655479901005
