tool	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 
run set	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18
/sv-benchmarks/c/	status	cputime (s)	walltime (s)	memUsage	wit1_cputime (s)	wit1_memUsage	wit1_status	wit1_walltime (s)	wit2_cputime (s)	wit2_memUsage	wit2_status	wit2_walltime (s)
ntdrivers-simplified/cdaudio_simpl1_false-unreach-call_true-valid-memsafety_true-termination.cil.c	TIMEOUT	51.33318984	91.09135395800695	1288237056	0.003486174	421888	ERROR (invalid witness file)	0.008578634995501488				
ntdrivers-simplified/floppy_simpl3_false-unreach-call_true-valid-memsafety_true-termination.cil.c	TIMEOUT	50.103356452	91.00786335102748	693858304	0.004700592	393216	ERROR (invalid witness file)	0.008035560022108257				
ntdrivers-simplified/floppy_simpl4_false-unreach-call_true-valid-memsafety_true-termination.cil.c	TIMEOUT	50.515607448	91.0095190469874	792883200	0.003246958	385024	ERROR (invalid witness file)	0.008941318024881184				
ntdrivers-simplified/kbfiltr_simpl2_false-unreach-call_true-valid-memsafety_true-termination.cil.c	unknown	49.433524727	87.7174980220152	541151232	0.07082641	15761408	ERROR (1)	0.17748131201369688				
ntdrivers-simplified/cdaudio_simpl1_true-unreach-call_true-valid-memsafety_true-termination.cil.c	TIMEOUT	51.459620402	91.01066303200787	1321451520					0.004609897	389120	true	0.009376518020872027
ntdrivers-simplified/diskperf_simpl1_true-unreach-call_true-valid-memsafety_true-termination.cil.c	TIMEOUT	55.023108933	91.00959176401375	1055453184					0.003460907	380928	true	0.008795385947450995
ntdrivers-simplified/floppy_simpl3_true-unreach-call_true-valid-memsafety_true-termination.cil.c	TIMEOUT	55.716436112	91.00798231398221	668741632					0.004459505	380928	true	0.008817460970021784
ntdrivers-simplified/floppy_simpl4_true-unreach-call_true-valid-memsafety_true-termination.cil.c	TIMEOUT	52.673019782	91.0089854610269	787529728					0.003513965	503808	true	0.008820457034744322
ntdrivers-simplified/kbfiltr_simpl1_true-unreach-call_true-valid-memsafety_true-termination.cil.c	TIMEOUT	48.859212096	91.01253787701717	401928192					0.00318179	385024	true	0.008476253016851842
ntdrivers-simplified/kbfiltr_simpl2_true-unreach-call_true-valid-memsafety_true-termination.cil.c	unknown	47.713266246	84.96290369401686	541822976					0.003314479	503808	true	0.009056786017026752
ssh-simplified/s3_clnt_1_false-unreach-call_true-termination.cil.c	TIMEOUT	55.940192008	90.83918269001879	314236928	0.003794099	626688	ERROR (invalid witness file)	0.00853738299338147				
ssh-simplified/s3_clnt_2_false-unreach-call_true-termination.cil.c	TIMEOUT	48.625008384	91.01198361400748	313647104	0.004539624	528384	ERROR (invalid witness file)	0.008738450997043401				
ssh-simplified/s3_clnt_3_false-unreach-call_true-termination.cil.c	TIMEOUT	51.001376935	91.00962302798871	317427712	0.004559022	512000	ERROR (invalid witness file)	0.007906507991719991				
ssh-simplified/s3_clnt_4_false-unreach-call_true-termination.cil.c	TIMEOUT	51.131058882	91.01046935498016	316325888	0.004816214	638976	ERROR (invalid witness file)	0.009352745022624731				
ssh-simplified/s3_srvr_10_false-unreach-call_false-termination.cil.c	TIMEOUT	46.766565871	91.0112334759906	312659968	0.004753104	393216	ERROR (invalid witness file)	0.009251660958398134				
ssh-simplified/s3_srvr_11_false-unreach-call_false-termination.cil.c	unknown	11.024366234	12.141857897979207	249733120	0.072941419	7647232	ERROR (1)	0.08461929496843368				
ssh-simplified/s3_srvr_12_false-unreach-call_false-termination.cil.c	unknown	11.009530877	12.164771253999788	243830784	0.066644148	7708672	ERROR (1)	0.0813855140004307				
ssh-simplified/s3_srvr_13_false-unreach-call_false-termination.cil.c	TIMEOUT	56.938372756	91.0243450019625	317882368	0.003524213	393216	ERROR (invalid witness file)	0.007938470982480794				
ssh-simplified/s3_srvr_14_false-unreach-call_false-termination.cil.c	unknown	20.663608447	30.068492595979478	295022592	0.07242749	7643136	ERROR (1)	0.08125446399208158				
ssh-simplified/s3_srvr_1_false-unreach-call_false-termination.cil.c	unknown	18.62561538	25.486402616021223	263704576	0.06368937	7761920	ERROR (1)	0.07879978697746992				
ssh-simplified/s3_srvr_2_false-unreach-call_false-termination.cil.c	unknown	21.210726664	29.909796455001924	272711680	0.071006423	7704576	ERROR (1)	0.08040254400111735				
ssh-simplified/s3_srvr_6_false-unreach-call_false-termination.cil.c	unknown	17.640103271	23.605128396011423	268791808	0.068429768	7630848	ERROR (1)	0.07817171001806855				
ssh-simplified/s3_clnt_1_true-unreach-call_true-termination.cil.c	TIMEOUT	47.935171705	91.00853218097473	306159616					0.003306564	512000	true	0.008600709959864616
ssh-simplified/s3_clnt_2_true-unreach-call_true-termination.cil.c	TIMEOUT	49.534426786	91.02264944999479	304648192					0.003249829	385024	true	0.008812666987068951
ssh-simplified/s3_clnt_3_true-unreach-call_true-termination.cil.c	TIMEOUT	50.255422687	91.01173519901931	315379712					0.004184715	380928	true	0.008454577997326851
ssh-simplified/s3_clnt_4_true-unreach-call_true-termination.cil.c	TIMEOUT	54.25442098	91.09368038299726	315555840					0.004099727	516096	true	0.008651252021081746
ssh-simplified/s3_srvr_1_true-unreach-call_false-termination.cil.c	unknown	18.395023905	24.482249933003914	267812864					0.003255796	516096	true	0.008004395989701152
ssh-simplified/s3_srvr_1a_true-unreach-call_false-termination.cil.c	TIMEOUT	44.473133275	90.01506800897187	245477376					0.004124112	385024	true	0.0085169060039334
ssh-simplified/s3_srvr_1b_true-unreach-call_false-termination.cil.c	TIMEOUT	47.124008673	91.01296088995878	256901120					0.004202927	516096	true	0.008376966987270862
ssh-simplified/s3_srvr_2_true-unreach-call_false-termination.cil.c	unknown	25.894905687	38.654181669990066	275578880					0.00330893	512000	true	0.009019528981298208
