tool	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 
run set	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18
/sv-benchmarks/c/	status	cputime (s)	walltime (s)	memUsage	wit1_cputime (s)	wit1_memUsage	wit1_status	wit1_walltime (s)	wit2_cputime (s)	wit2_memUsage	wit2_status	wit2_walltime (s)
loops/array_false-unreach-call_true-termination.i	false(unreach-call)	6.480656247	7.654861832968891	167018496	0.673056899	34037760	false(unreach-call)	0.9442988199880347				
loops/bubble_sort_false-unreach-call.i	unknown	9.035167889	10.048143946041819	220770304	0.916929676	18386944	ERROR (1)	2.455347216979135				
loops/count_up_down_false-unreach-call_true-termination.i	false(unreach-call)	5.515406249	6.368616710999049	166080512	0.660682003	18423808	false(unreach-call)	0.6742368590203114				
loops/eureka_01_false-unreach-call.i	TIMEOUT	51.480948734	91.00980363198323	275853312	0.003702598	651264	ERROR (invalid witness file)	0.008661531028337777				
loops/for_bounded_loop1_false-unreach-call_true-termination.i	false(unreach-call)	6.243931072	7.133663120039273	174374912	0.660846378	18411520	false(unreach-call)	0.675674305006396				
loops/insertion_sort_false-unreach-call_true-termination.i	unknown	7.646521795	8.855073328013532	194883584	0.598101391	18382848	ERROR (1)	0.6620603739866056				
loops/invert_string_false-unreach-call_true-termination.i	unknown	7.209654443	8.165665216976777	186646528	0.595696311	18337792	ERROR (1)	0.6803622089792043				
loops/linear_search_false-unreach-call.i	false(unreach-call)	44.959327138	83.37852184596704	255459328	0.649905201	18452480	true	0.6744563070242293				
loops/ludcmp_false-unreach-call.i	unknown	5.485751956	6.190744538966101	158060544	0.707862086	18472960	false(unreach-call)	0.7368952400283888				
loops/matrix_false-unreach-call_true-termination.i	TIMEOUT	42.763511474	90.66987068200251	296230912	0.003447186	647168	ERROR (invalid witness file)	0.008880677982233465				
loops/n.c24_false-unreach-call.i	unknown	4.457314343	5.174724637996405	133115904	0.619048638	18268160	ERROR (1)	0.7057084359694272				
loops/nec11_false-unreach-call_false-termination.i	false(unreach-call)	5.708921624	6.5799110940424725	166785024	0.67062743	18432000	false(unreach-call)	0.6842031880514696				
loops/nec20_false-unreach-call_true-termination.i	false(unreach-call)	6.155314712	7.067283759999555	164704256	0.66705425	18415616	false(unreach-call)	0.682219770969823				
loops/s3_false-unreach-call.i	unknown	9.818993995	10.647457404993474	313540608	0.850446048	18636800	ERROR (1)	1.160979523032438				
loops/string_false-unreach-call_true-termination.i	unknown	21.004084038	33.31312312599039	223285248	0.612211445	18247680	ERROR (1)	0.6719146320247091				
loops/sum01_bug02_false-unreach-call_true-termination.i	false(unreach-call)	10.050667529	12.767932070011739	183623680	0.66667896	18403328	false(unreach-call)	0.6876472249859944				
loops/sum01_bug02_sum01_bug02_base.case_false-unreach-call_true-termination.i	false(unreach-call)	8.399777185	10.269879404979292	186703872	0.679908696	18415616	false(unreach-call)	0.6929831819725223				
loops/sum01_false-unreach-call_true-termination.i	false(unreach-call)	12.847923171	17.762280121969525	224235520	0.655821327	18419712	false(unreach-call)	0.672376801026985				
loops/sum03_false-unreach-call_true-termination.i	false(unreach-call)	14.180926275	20.75316995801404	224837632	0.663030414	18509824	false(unreach-call)	0.6758641870110296				
loops/sum04_false-unreach-call_true-termination.i	false(unreach-call)	5.583526767	6.402135412034113	158089216	0.635656785	18358272	false(unreach-call)	0.6508701540296897				
loops/sum_array_false-unreach-call.i	false(unreach-call)	7.334738163	8.443353044975083	191471616	0.659278463	18378752	false(unreach-call)	0.6723112760228105				
loops/terminator_01_false-unreach-call_true-termination.i	false(unreach-call)	5.368190357	6.185703044990078	164343808	0.647597374	18403328	false(unreach-call)	0.6627396929543465				
loops/terminator_02_false-unreach-call_true-termination.i	false(unreach-call)	6.44259391	7.348427806980908	168906752	0.643439331	18362368	false(unreach-call)	0.6632958520203829				
loops/terminator_03_false-unreach-call_true-termination.i	false(unreach-call)	5.818756325	6.73574264603667	157405184	0.651746948	18292736	false(unreach-call)	0.6642612419673242				
loops/trex01_false-unreach-call_true-termination.i	false(unreach-call)	7.056980738	7.973760006017983	202063872	0.670499645	18436096	false(unreach-call)	0.6821739239967428				
loops/trex02_false-unreach-call_true-termination.i	TIMEOUT	47.171303267	91.01279029902071	256679936	0.003341665	516096	ERROR (invalid witness file)	0.009401278977748007				
loops/trex03_false-unreach-call_true-termination.i	false(unreach-call)	7.085786079	8.148505608958658	189263872	0.657076546	18870272	false(unreach-call)	0.668362520984374				
loops/verisec_NetBSD-libc__loop_false-unreach-call_true-termination.i	unknown	5.235618081	5.97315342904767	164610048	0.62512672	18890752	false(unreach-call)	0.6376673500053585				
loops/verisec_OpenSER__cases1_stripFullBoth_arr_false-unreach-call_true-termination.i	unknown	4.37303006	5.042150680033956	134463488	0.642818657	18931712	ERROR (2)	0.6642405649763532				
loops/vogal_false-unreach-call.i	false(unreach-call)	31.192914449	55.62992627895437	247840768	0.660695948	18833408	false(unreach-call)	0.6746138259768486				
loops/while_infinite_loop_4_false-unreach-call_true-termination.i	false(unreach-call)	5.526328073	6.403072216024157	165257216	0.670438723	18411520	false(unreach-call)	0.6863618029747158				
loops/array_true-unreach-call_true-termination.i	true	4.192597796	4.939246641006321	127012864					0.004038176	516096	true	0.00958276999881491
loops/bubble_sort_true-unreach-call.i	unknown	4.822363075	5.521634508972056	143446016					0.004753784	389120	true	0.009168247983325273
loops/count_up_down_true-unreach-call_true-termination.i	true	4.200717434	4.978325854986906	126578688					0.00339304	385024	true	0.009420957008842379
loops/eureka_01_true-unreach-call.i	TIMEOUT	49.720613012	91.01054276397917	268234752					0.003756085	516096	true	0.009010929032228887
